#	week	day	japanese	pronounciation	translation	1d	2d	6d	12d	30d	100d	Last studied	Correct_Streak
1	1	1	行く	iku	go	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
2	1	1	見る	miru	see, look at	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
3	1	1	多い	ooi	a lot of, many	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
4	1	1	家	ie	home, household	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
5	1	1	これ	kore	this, this one	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
6	1	1	それ	sore	that, that one	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
7	1	1	私	watashi	I	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
8	1	1	仕事	shigoto	work, job	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
9	1	1	いつ	itsu	when	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
10	1	1	する	suru	do, make	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
11	1	2	出る	deru	go out, leave	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
12	1	2	使う	tsukau	use, make use of	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
13	1	2	所	tokoro	place	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
14	1	2	作る	tsukuru	make, create	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
15	1	2	思う	omou	think	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
16	1	2	持つ	motsu	have, possess	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
17	1	2	買う	kau	buy	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
18	1	2	時間	jikan	time, hour	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
19	1	2	知る	shiru	know	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
20	1	2	同じ	onaji	same, identical	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
21	1	3	今	ima	now	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
22	1	3	新しい	atarashii	new	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
23	1	3	なる	naru	become	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
24	1	3	まだ	mada	(not) yet, still	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
25	1	3	あと	ato	after	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
26	1	3	聞く	kiku	hear, ask	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
27	1	3	言う	iu	say, tell	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
28	1	3	少ない	sukunai	few, little	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
29	1	3	高い	takai	high, tall	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
30	1	3	子供	kodomo	child	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
31	1	4	そう	sou	so, that way	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
32	1	4	もう	mou	already, yet	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
33	1	4	学生	gakusei	student	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
34	1	4	熱い	atsui	hot (to touch)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
35	1	4	どうぞ	douzo	please	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
36	1	4	午後	gogo	afternoon, p.m.	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
37	1	4	長い	nagai	long	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
38	1	4	本	hon	book, volume	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
39	1	4	今年	kotoshi	this year (colloquial)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
40	1	4	よく	yoku	often, well	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
